"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","8","2","5035660d-d66e-4eaf-bcca-614e4feb24cd","https://wellcomelibrary.github.io/dlcsdemo/b19567261_0_8_13/assets/5035660d-d66e-4eaf-bcca-614e4feb24cd.jp2","","b19567261","","","","","-1","0","8","0"
"Image","9","2","93fd83f2-e116-4f88-82f9-175111e1bb4b","https://wellcomelibrary.github.io/dlcsdemo/b19567261_0_8_13/assets/93fd83f2-e116-4f88-82f9-175111e1bb4b.jp2","","b19567261","","","","","-1","0","9","0"
"Image","10","2","b1552646-b289-4de4-ab92-7ccd3e7db108","https://wellcomelibrary.github.io/dlcsdemo/b19567261_0_8_13/assets/b1552646-b289-4de4-ab92-7ccd3e7db108.jp2","","b19567261","","","","","-1","0","10","0"
"Image","11","2","309f453c-a4b9-40c8-a4c0-be6c3dd10d9c","https://wellcomelibrary.github.io/dlcsdemo/b19567261_0_8_13/assets/309f453c-a4b9-40c8-a4c0-be6c3dd10d9c.jp2","","b19567261","","","","","-1","0","11","0"
"Image","12","2","f8a99645-1d49-4b51-9039-02356219c423","https://wellcomelibrary.github.io/dlcsdemo/b19567261_0_8_13/assets/f8a99645-1d49-4b51-9039-02356219c423.jp2","","b19567261","","","","","-1","0","12","0"
"Image","13","2","89a288dc-6a5f-42dd-9161-080bc4fee798","https://wellcomelibrary.github.io/dlcsdemo/b19567261_0_8_13/assets/89a288dc-6a5f-42dd-9161-080bc4fee798.jp2","","b19567261","","","","","-1","0","13","0"
