"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","2","842e4d78-19ce-4277-afb7-754d96f11fee","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/842e4d78-19ce-4277-afb7-754d96f11fee.jp2","","b18027726","","","","","-1","0","0","0"
"Image","1","2","09d52123-d6d6-4b31-981c-cec443a1efd6","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/09d52123-d6d6-4b31-981c-cec443a1efd6.jp2","","b18027726","","","","","-1","0","1","0"
"Image","2","2","8597a8ff-7732-4f13-bb90-01fe4057271d","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/8597a8ff-7732-4f13-bb90-01fe4057271d.jp2","","b18027726","","","","","-1","0","2","0"
"Image","3","2","a2447272-78e2-46b4-9120-5abe88535922","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/a2447272-78e2-46b4-9120-5abe88535922.jp2","","b18027726","","","","","-1","0","3","0"
"Image","4","2","d2e2ca68-94c3-4170-a109-7dc7c83fc199","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/d2e2ca68-94c3-4170-a109-7dc7c83fc199.jp2","","b18027726","","","","","-1","0","4","0"
"Image","5","2","8810681e-ad8a-43d2-825d-b587b6394cf2","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/8810681e-ad8a-43d2-825d-b587b6394cf2.jp2","","b18027726","","","","","-1","0","5","0"
"Image","6","2","e116945f-14ff-478a-89cc-beeaac2bc13f","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/e116945f-14ff-478a-89cc-beeaac2bc13f.jp2","","b18027726","","","","","-1","0","6","0"
"Image","7","2","929f3194-99c5-4eb7-a889-4426be5905a2","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/929f3194-99c5-4eb7-a889-4426be5905a2.jp2","","b18027726","","","","","-1","0","7","0"
"Image","8","2","5136f29d-d7a7-4c1b-a744-020edfc32d14","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/5136f29d-d7a7-4c1b-a744-020edfc32d14.jp2","","b18027726","","","","","-1","0","8","0"
"Image","9","2","1e1343da-87cd-4b3c-8ab5-eb39999a7373","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/1e1343da-87cd-4b3c-8ab5-eb39999a7373.jp2","","b18027726","","","","","-1","0","9","0"
"Image","10","2","cf8a14a2-ee82-4f1a-bb74-805323b6e7ed","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/cf8a14a2-ee82-4f1a-bb74-805323b6e7ed.jp2","","b18027726","","","","","-1","0","10","0"
"Image","11","2","551a6df7-8d0a-4511-8ce3-17056a0f85fb","https://wellcomelibrary.github.io/dlcsdemo/b18027726_0_0_11/assets/551a6df7-8d0a-4511-8ce3-17056a0f85fb.jp2","","b18027726","","","","","-1","0","11","0"
