"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","2","019e75ba-a99b-48ea-8e02-f358930ef47a","https://wellcomelibrary.github.io/dlcsdemo/b20642635_0_0_5/assets/019e75ba-a99b-48ea-8e02-f358930ef47a.jp2","","b20642635","","","","","-1","0","0","0"
"Image","1","2","8b99671c-b342-45f1-8eed-262262bb1da3","https://wellcomelibrary.github.io/dlcsdemo/b20642635_0_0_5/assets/8b99671c-b342-45f1-8eed-262262bb1da3.jp2","","b20642635","","","","","-1","0","1","0"
"Image","2","2","d819cc9e-409a-45d8-b708-27aaf5c58b5a","https://wellcomelibrary.github.io/dlcsdemo/b20642635_0_0_5/assets/d819cc9e-409a-45d8-b708-27aaf5c58b5a.jp2","","b20642635","","","","","-1","0","2","0"
"Image","3","2","41134b4b-4725-4181-9914-2502e41f7b8e","https://wellcomelibrary.github.io/dlcsdemo/b20642635_0_0_5/assets/41134b4b-4725-4181-9914-2502e41f7b8e.jp2","","b20642635","","","","","-1","0","3","0"
"Image","4","2","a4491f86-c3e7-4a67-a862-bd7a127a55c4","https://wellcomelibrary.github.io/dlcsdemo/b20642635_0_0_5/assets/a4491f86-c3e7-4a67-a862-bd7a127a55c4.jp2","","b20642635","","","","","-1","0","4","0"
"Image","5","2","f09d982c-b7d8-4b6e-8e1e-0652715af9a1","https://wellcomelibrary.github.io/dlcsdemo/b20642635_0_0_5/assets/f09d982c-b7d8-4b6e-8e1e-0652715af9a1.jp2","","b20642635","","","","","-1","0","5","0"
