"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","8","2","cc747cd0-90eb-44e5-a09d-19ba0a38bcfb","https://wellcomelibrary.github.io/dlcsdemo/b1964601x_0_8_13/assets/cc747cd0-90eb-44e5-a09d-19ba0a38bcfb.jp2","","b1964601x","","","","","-1","0","8","0"
"Image","9","2","748c4465-f317-4564-8f7e-827e60c23405","https://wellcomelibrary.github.io/dlcsdemo/b1964601x_0_8_13/assets/748c4465-f317-4564-8f7e-827e60c23405.jp2","","b1964601x","","","","","-1","0","9","0"
"Image","10","2","8e06f200-6ea0-4fe4-8b7a-a992bb25c30a","https://wellcomelibrary.github.io/dlcsdemo/b1964601x_0_8_13/assets/8e06f200-6ea0-4fe4-8b7a-a992bb25c30a.jp2","","b1964601x","","","","","-1","0","10","0"
"Image","11","2","2d0b6483-c083-4788-91e2-c6084efdce0f","https://wellcomelibrary.github.io/dlcsdemo/b1964601x_0_8_13/assets/2d0b6483-c083-4788-91e2-c6084efdce0f.jp2","","b1964601x","","","","","-1","0","11","0"
"Image","12","2","05fa103e-0aa0-4789-a3a2-167fa69bfaaa","https://wellcomelibrary.github.io/dlcsdemo/b1964601x_0_8_13/assets/05fa103e-0aa0-4789-a3a2-167fa69bfaaa.jp2","","b1964601x","","","","","-1","0","12","0"
"Image","13","2","a2629d1d-259b-4080-8858-3a485e474712","https://wellcomelibrary.github.io/dlcsdemo/b1964601x_0_8_13/assets/a2629d1d-259b-4080-8858-3a485e474712.jp2","","b1964601x","","","","","-1","0","13","0"
