"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","eff8653c-8074-4266-a3d6-e99195893c6b","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/eff8653c-8074-4266-a3d6-e99195893c6b.jp2","","b21533301","","","","","-1","0","0","0"
"Image","1","1","1c2f3ae7-3bbf-48b2-b056-dae85c933249","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/1c2f3ae7-3bbf-48b2-b056-dae85c933249.jp2","","b21533301","","","","","-1","0","1","0"
"Image","2","1","ace210c7-a272-494c-8317-433e1442b2c8","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/ace210c7-a272-494c-8317-433e1442b2c8.jp2","","b21533301","","","","","-1","0","2","0"
"Image","3","1","909b0e93-cf76-403d-bd3e-9ca35e50bbbd","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/909b0e93-cf76-403d-bd3e-9ca35e50bbbd.jp2","","b21533301","","","","","-1","0","3","0"
"Image","4","1","e6e172c7-e4ba-47ec-a5c3-3680c97dc06e","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/e6e172c7-e4ba-47ec-a5c3-3680c97dc06e.jp2","","b21533301","","","","","-1","0","4","0"
"Image","5","1","be5afc1a-1734-40dc-b480-b42b3b54a985","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/be5afc1a-1734-40dc-b480-b42b3b54a985.jp2","","b21533301","","","","","-1","0","5","0"
"Image","6","1","8e24ea6a-3552-48e8-9e61-00a4653630d4","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/8e24ea6a-3552-48e8-9e61-00a4653630d4.jp2","","b21533301","","","","","-1","0","6","0"
"Image","7","1","b01e0f5a-3690-46fc-bd80-e9ea805cf972","https://wellcomelibrary.github.io/dlcs-demo/b21533301_0/b01e0f5a-3690-46fc-bd80-e9ea805cf972.jp2","","b21533301","","","","","-1","0","7","0"
