"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","2","b3ec346f-71bf-4bb1-a7f1-1cad996fa0d4","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/b3ec346f-71bf-4bb1-a7f1-1cad996fa0d4.jp2","","b18035978","","","","","-1","0","0","0"
"Image","1","2","bc556d06-16f6-4525-b38c-e7203a9188c9","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/bc556d06-16f6-4525-b38c-e7203a9188c9.jp2","","b18035978","","","","","-1","0","1","0"
"Image","2","2","3bc68bcb-8ac9-4cd1-9dd5-296aea55fe94","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/3bc68bcb-8ac9-4cd1-9dd5-296aea55fe94.jp2","","b18035978","","","","","-1","0","2","0"
"Image","3","2","bd3345ff-17e6-4a8b-8248-fa0691eb2c4b","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/bd3345ff-17e6-4a8b-8248-fa0691eb2c4b.jp2","","b18035978","","","","","-1","0","3","0"
"Image","4","2","50dc430c-9b6f-46e4-8282-4487a00c84b9","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/50dc430c-9b6f-46e4-8282-4487a00c84b9.jp2","","b18035978","","","","","-1","0","4","0"
"Image","5","2","595d9268-a9fa-4076-bda8-3e779fbfcbca","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/595d9268-a9fa-4076-bda8-3e779fbfcbca.jp2","","b18035978","","","","","-1","0","5","0"
"Image","6","2","e0de70c7-48bc-4842-8d33-640caee8b8c0","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/e0de70c7-48bc-4842-8d33-640caee8b8c0.jp2","","b18035978","","","","","-1","0","6","0"
"Image","7","2","243b51c8-9ad6-4e2a-a0be-fc8b53301dbe","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/243b51c8-9ad6-4e2a-a0be-fc8b53301dbe.jp2","","b18035978","","","","","-1","0","7","0"
"Image","8","2","51807440-aeed-4302-a5d8-73808e11f9f1","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/51807440-aeed-4302-a5d8-73808e11f9f1.jp2","","b18035978","","","","","-1","0","8","0"
"Image","9","2","f4d50c65-32a5-4303-ba5c-56694297328e","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/f4d50c65-32a5-4303-ba5c-56694297328e.jp2","","b18035978","","","","","-1","0","9","0"
"Image","10","2","c03e17b0-c9d1-4e8a-8f87-4737f6a25347","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/c03e17b0-c9d1-4e8a-8f87-4737f6a25347.jp2","","b18035978","","","","","-1","0","10","0"
"Image","11","2","b4bb2a96-5d21-4957-a5e6-5beeadb8a3ba","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/b4bb2a96-5d21-4957-a5e6-5beeadb8a3ba.jp2","","b18035978","","","","","-1","0","11","0"
"Image","12","2","1804c604-244a-4f75-b130-a019b01ef197","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/1804c604-244a-4f75-b130-a019b01ef197.jp2","","b18035978","","","","","-1","0","12","0"
"Image","13","2","4e542ae9-b999-4a1a-ab10-5cf1a1beca8b","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/4e542ae9-b999-4a1a-ab10-5cf1a1beca8b.jp2","","b18035978","","","","","-1","0","13","0"
"Image","14","2","63107400-08e4-4b93-b5ba-3d19bbd0e94f","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/63107400-08e4-4b93-b5ba-3d19bbd0e94f.jp2","","b18035978","","","","","-1","0","14","0"
"Image","15","2","b838eff1-ed6d-479d-ba32-57af20e45193","https://wellcomelibrary.github.io/dlcsdemo/b18035978_0/b838eff1-ed6d-479d-ba32-57af20e45193.jp2","","b18035978","","","","","-1","0","15","0"
