"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","2","0dee0280-9989-4d6d-86c2-30fc5d1f537d","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/0dee0280-9989-4d6d-86c2-30fc5d1f537d.jp2","","b21533222","","","","","-1","0","0","0"
"Image","1","2","2b955f87-8171-4514-b6cf-2cc8651b0734","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/2b955f87-8171-4514-b6cf-2cc8651b0734.jp2","","b21533222","","","","","-1","0","1","0"
"Image","2","2","32c5af3a-03c1-42a5-af4a-075119aca5c9","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/32c5af3a-03c1-42a5-af4a-075119aca5c9.jp2","","b21533222","","","","","-1","0","2","0"
"Image","3","2","0a3b13f5-3441-4d92-9aaa-68f212ba3fcc","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/0a3b13f5-3441-4d92-9aaa-68f212ba3fcc.jp2","","b21533222","","","","","-1","0","3","0"
"Image","4","2","6f90f088-214c-4f17-ac28-4f45ce1e4b17","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/6f90f088-214c-4f17-ac28-4f45ce1e4b17.jp2","","b21533222","","","","","-1","0","4","0"
"Image","5","2","3f0ca2ec-db48-451e-aed7-9190da5df540","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/3f0ca2ec-db48-451e-aed7-9190da5df540.jp2","","b21533222","","","","","-1","0","5","0"
"Image","6","2","4b20fb1b-b743-4ae3-b457-40dfd244c62c","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/4b20fb1b-b743-4ae3-b457-40dfd244c62c.jp2","","b21533222","","","","","-1","0","6","0"
"Image","7","2","90372dd3-46de-460e-8d8a-6dc18cb14fb4","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/90372dd3-46de-460e-8d8a-6dc18cb14fb4.jp2","","b21533222","","","","","-1","0","7","0"
"Image","8","2","b696bc4e-875f-4711-a533-a21c785a6933","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/b696bc4e-875f-4711-a533-a21c785a6933.jp2","","b21533222","","","","","-1","0","8","0"
"Image","9","2","662d36f8-7199-4eca-8870-eedb0c7287d5","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/662d36f8-7199-4eca-8870-eedb0c7287d5.jp2","","b21533222","","","","","-1","0","9","0"
"Image","10","2","f9e389b5-cda7-41f5-98e5-6adc62c3c99d","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/f9e389b5-cda7-41f5-98e5-6adc62c3c99d.jp2","","b21533222","","","","","-1","0","10","0"
"Image","11","2","eaf51700-c7ff-4a3a-b699-44ab3b1aefbb","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/eaf51700-c7ff-4a3a-b699-44ab3b1aefbb.jp2","","b21533222","","","","","-1","0","11","0"
"Image","12","2","0e1886c8-7f1f-4e84-a0e1-9960fd05dd2b","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/0e1886c8-7f1f-4e84-a0e1-9960fd05dd2b.jp2","","b21533222","","","","","-1","0","12","0"
"Image","13","2","46b53ecb-f1e4-4273-86c9-c21594804059","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/46b53ecb-f1e4-4273-86c9-c21594804059.jp2","","b21533222","","","","","-1","0","13","0"
"Image","14","2","1c7d1fc1-231b-4fa5-873a-c468f30af2c5","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/1c7d1fc1-231b-4fa5-873a-c468f30af2c5.jp2","","b21533222","","","","","-1","0","14","0"
"Image","15","2","8488379b-cb0b-442c-8682-1695076884af","https://wellcomelibrary.github.io/dlcsdemo/b21533222_0/8488379b-cb0b-442c-8682-1695076884af.jp2","","b21533222","","","","","-1","0","15","0"
